Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA  점,2023-08-23,2023-08-24,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-23,2023-08-24,휘발유,준중형,5인,면책커버보험 포함,101510~138730
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-23,2023-08-24,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,도요타 복시 또는 동급차종,TOYOTA_FUKUOKA 나카스점,2023-08-23,2023-08-24,휘발유,RV,7인,면책커버보험 포함,175160
FUKUOKA,FUK,도요타 알파드 또는 동급차종,TOYOTA_FUKUOKA 나카스점,2023-08-23,2023-08-24,휘발유,RV,7인,면책커버보험 포함,230400
FUKUOKA,FUK,혼다 스텝왜건 또는 동급차종,니폰 렌터카,2023-08-23,2023-08-24,,RV,7인,프리미엄플랜 포함,2394
FUKUOKA,FUK,도요타 비츠 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-24,2023-08-25,휘발유,경형,4인,면책커버보험 포함,750
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-24,2023-08-25,,소형,5인,스탠다드플랜 포함,82710
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-24,2023-08-25,휘발유,소형,5인,면책커버보험 포함,84940
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA  점,2023-08-24,2023-08-25,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-08-24,2023-08-25,,준중형,5인,스탠다드플랜 포함,100980
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-24,2023-08-25,휘발유,준중형,5인,면책커버보험 포함,101510~138730
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-24,2023-08-25,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,스바루 레보그 또는 동급차종,니폰 렌터카,2023-08-24,2023-08-25,,SUV,5인,스탠다드플랜 포함,175340
FUKUOKA,FUK,혼다 스텝왜건 또는 동급차종,니폰 렌터카,2023-08-24,2023-08-25,,RV,7인,스탠다드플랜 포함,224580
FUKUOKA,FUK,도요타 비츠 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-25,2023-08-26,휘발유,경형,4인,면책커버보험 포함,750
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-25,2023-08-26,,소형,5인,스탠다드플랜 포함,82710
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-25,2023-08-26,휘발유,소형,5인,면책커버보험 포함,84940~107880
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA  점,2023-08-25,2023-08-26,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-25,2023-08-26,휘발유,준중형,5인,면책커버보험 포함,101510~138730
FUKUOKA,FUK,도요타 시엔타 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-25,2023-08-26,휘발유,RV,5인,면책커버보험 포함,110710
FUKUOKA,FUK,도요타 시엔타 6인승 또는 동급차종,니폰 렌터카,2023-08-25,2023-08-26,,RV,6인,스탠다드플랜 포함,138730
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-25,2023-08-26,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,스바루 레보그 또는 동급차종,니폰 렌터카,2023-08-25,2023-08-26,,SUV,5인,스탠다드플랜 포함,175340
FUKUOKA,FUK,도요타 비츠 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-26,2023-08-27,휘발유,경형,4인,면책커버보험 포함,750
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-26,2023-08-27,,소형,5인,스탠다드플랜 포함,82710
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-26,2023-08-27,휘발유,소형,5인,면책커버보험 포함,84940~107880
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA  점,2023-08-26,2023-08-27,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-26,2023-08-27,휘발유,준중형,5인,면책커버보험 포함,101510~138730
FUKUOKA,FUK,도요타 시엔타 또는 동급차종,TOYOTA_FUKUOKA 하카타역 하카타 출구점,2023-08-26,2023-08-27,휘발유,RV,5인,면책커버보험 포함,110710
